Environment,Trait,Mean,Std Error,Min,Max,CV%,Kurtosis,LSD (0.05)
FL22,DTH,38.50265957446808,0.184851816068242,31.0,49.0,9.309511968934938,-0.4907480703935403,0.7240082739858165
FL22,GFD,26.50824175824176,0.22412024859834498,18.0,40.0,16.130612729363705,0.44547158513096186,0.8638645525340874
FL23,DTH,37.9973474801061,0.19014382448649256,29.0,52.0,9.716271004774518,0.3527053599294958,0.7457749701195873
FL23,GFD,34.816976127320956,0.1418529707618591,26.0,47.0,7.910757303116085,1.326802895992711,0.555802578910077
FL23,PHT,81.48894783405837,0.539776331517179,50.0,111.3333333,12.861327646538461,-0.3112600753499968,2.109337371017023
FL23,TNS,14.480005699095745,0.08733988636104119,10.375,20.0,11.69601218838998,0.06288873705016984,0.3395658493818756
FL23,TGW,33.91771799836968,0.23507739798952826,1.829652997,47.79783394,13.439347154457195,6.101623434120997,0.9176776962592457
FL23,KA,15.197772442480002,0.058429731359021235,11.90484744,19.09060053,7.445083723070105,0.13030405529126865,0.22857212277593492
FL23,KW,3.2229925925664897,0.008199929941637048,2.704230165,3.614665225,4.933382137083385,0.41489761009502546,0.03210999152049707
FL23,KL,6.393246523252659,0.012530076547995199,5.676188313,7.047893167,3.8003727510071217,0.0950813351644535,0.04907882187096226
FL23,KC,1.402568259018617,0.0025936655321824884,1.278734383,1.599400302,3.5857820327500116,1.20758889932394,0.010149056893467118
FL23,KLW,2.017862196699468,0.005713915307405607,1.686767094,2.387019178,5.49080748685405,0.6657330888114408,0.022376135084713845
FL23,KPS,44.3152070668617,0.4167672805836978,23.625,77.125,18.236217181767966,1.0632906979231462,1.6206821583900601
FL23,GWS,1.4946509308537237,0.012601687847061168,0.8925,2.225,16.34868639482355,-0.23745087664612896,0.04916085332461199
GH22,DTH,43.6278659611993,0.19496340861899047,33.0,82.0,10.640956515724618,12.311620929563869,0.9350852748031628
GH22,GFD,41.33922261484099,0.22381206223206734,28.0,57.0,12.880401447846513,-0.16227381435815413,0.8489396009728694
GH22,PHT,76.55908289241623,0.46521576385756186,49.0,116.0,14.469356914780723,0.05215230207182264,2.1260127643113935
GH22,TNS,17.6847442680776,0.08299772639757788,11.75,26.0,11.175293580316955,0.6733497209859469,0.38712224606102597
GH22,TGW,46.21830243973545,0.24740793399897168,26.39705882,66.69172932,12.7465062123207,0.26307310371999204,1.0802518033293613
GH22,KA,17.30030097047619,0.06960423666176646,12.04498995,22.8930209,9.580177283968073,0.11253845831238074,0.29823814720740255
GH22,KW,3.6375544516737213,0.0077177559713866055,2.869434912,4.159717929,5.052113150729493,0.7249464017393232,0.03498623533210312
GH22,KL,6.449435935532628,0.01566980031917229,5.374187538,7.537132723,5.785398232912584,-0.09584946523463467,0.06629419086477104
GH22,KC,1.302187432865961,0.0015320851552351239,1.222129942,1.433965761,2.80156649130314,0.1563583232176753,0.007254352563126273
GH22,KLW,1.7843577928835979,0.0043326823333505625,1.522176281,2.126303351,5.781844879230897,-0.040999016371349395,0.02032229633652235
GH22,KPS,35.73412698412698,0.29249719972342836,19.0,55.5,19.490817978994198,-0.19691968256529702,1.4043906396519579
GH22,GWS,1.654920634920635,0.01624760823432517,0.2975,2.8,23.377808513894124,-0.12333751970583373,0.07558790922099282
GH23,DTH,40.65343915343915,0.20742941927597786,30.0,55.0,9.920166467160119,0.23921941449670392,0.8143802188443543
GH23,GFD,33.47883597883598,0.22741908715252462,19.0,49.0,13.206947827897936,0.42014979341265946,0.8931680923040466
GH23,PHT,85.2928759894459,0.5293028034923282,59.0,114.0,12.08122689026932,-0.36483484990985815,2.0805613979626405
GH23,TNS,17.089050131926122,0.09744799856191826,13.0,24.75,11.101319575722352,0.3926277814724748,0.37168835119987614
GH23,TGW,43.08268028736148,0.28568759990885434,27.33944954,61.01910828,12.909466100289308,0.48230864489960057,1.122276517059964
GH23,KA,16.865941785342105,0.07642769023581661,12.55690894,21.40955797,8.8334821554367,-0.15798893897629895,0.2992848530675996
GH23,KW,3.5076303098812667,0.008651678507328625,2.937539292,3.918599209,4.801823178581266,0.357742294056306,0.034018735575251605
GH23,KL,6.510697580823219,0.01800834559737795,5.538187986,7.452852482,5.384754384614314,-0.13700931544135697,0.0702780917197146
GH23,KC,1.3409837233825859,0.0022296758618413235,1.25471169,1.535828468,3.2369637118843038,0.768691058546159,0.008734122263374515
GH23,KLW,1.8763321458153035,0.005485141596802332,1.612643868,2.316462683,5.691119817742423,0.41851061368936326,0.021410152509718536
GH23,KPS,39.693931398416886,0.43704907571834206,20.5,67.25,21.43510900142458,-0.0114157064432856,1.7103998148982762
GH23,GWS,1.7063060686015832,0.0200360362403303,0.7425,2.9475,22.859907995654595,-0.1430271535302019,0.0786310134374374
